datetime,lat,lon,accuracy,ua,origin,maps_link
57825-06-14T10:34:17+00:00,45.7552497,4.8893145,16.854,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","https://unsighing-prepalatine-yi.ngrok-free.dev","https://www.google.com/maps?q=45.7552497,4.8893145"
57825-06-16T01:45:11+00:00,45.7552482,4.8893095,16.638,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","https://unsighing-prepalatine-yi.ngrok-free.dev","https://www.google.com/maps?q=45.7552482,4.8893095"
57825-06-21T22:00:53+00:00,45.7552524,4.8893018,17.869,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","https://unsighing-prepalatine-yi.ngrok-free.dev","https://www.google.com/maps?q=45.7552524,4.8893018"
57825-06-22T01:20:59+00:00,45.7552687,4.8892937,15.344,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","https://unsighing-prepalatine-yi.ngrok-free.dev","https://www.google.com/maps?q=45.7552687,4.8892937"
57825-06-22T05:30:53+00:00,45.7552687,4.8892937,15.344,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","https://unsighing-prepalatine-yi.ngrok-free.dev","https://www.google.com/maps?q=45.7552687,4.8892937"
57825-06-22T09:40:55+00:00,45.7552687,4.8892937,15.344,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","https://unsighing-prepalatine-yi.ngrok-free.dev","https://www.google.com/maps?q=45.7552687,4.8892937"
57825-06-22T13:50:49+00:00,45.7552687,4.8892937,15.344,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","https://unsighing-prepalatine-yi.ngrok-free.dev","https://www.google.com/maps?q=45.7552687,4.8892937"
57825-06-22T18:00:51+00:00,45.7552527,4.8892969,18.668,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","https://unsighing-prepalatine-yi.ngrok-free.dev","https://www.google.com/maps?q=45.7552527,4.8892969"
57825-06-22T22:11:00+00:00,45.7552527,4.8892969,18.668,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","https://unsighing-prepalatine-yi.ngrok-free.dev","https://www.google.com/maps?q=45.7552527,4.8892969"
57825-06-25T16:17:03+00:00,45.7552365,4.8893062,17.21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","https://unsighing-prepalatine-yi.ngrok-free.dev","https://www.google.com/maps?q=45.7552365,4.8893062"
